PIID,Est. Ultimate Completion Date,Date Signed,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Principal Place of Performance City Name,Principal Place of Performance State Code,Place of Performance Zip Code,Contractor Name,Street,Vendor City,Vendor State,Zip,DUNS Number,Vendor Phone Number,Effective Date,Action Obligation
47QFCA18D0013,02/01/2023,02/02/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SAINT INIGOES,MD,20684-3091,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,02/02/2018,"$1,000,000.00"
47QFCA18F0002,04/05/2024,04/06/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D316,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,FALLS CHURCH,VA,22042-4516,CSRA LLC,3170 FAIRVIEW PARK DR,FALLS CHURCH,VA,22042-4516,043991108,(703) 876-1243,04/06/2018,"$2,000,000.00"
47QFCA18F0009,02/25/2023,02/23/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,WASHINGTON,DC,20405-0002,CGI FEDERAL INC.,12601 FAIR LAKES CIR,FAIRFAX,VA,22033-4902,145969783,(703) 227-4868,02/23/2018,"$2,252,832.00"
47QFCA18F0015,11/15/2022,11/16/2017,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,WARREN,MI,48092-0899,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",12015 LEE JACKSON MEMORIAL HWY,FAIRFAX,VA,22033-3300,139627525,(703) 375-6061,11/16/2017,"$10,233,604.40"
47QFCA18F0015,11/15/2022,03/20/2019,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,WARREN,MI,48092-0899,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",2251 CORPORATE PARK DRIVE,HERNDON,VA,20171-4839,139627525,(703) 218-6421,03/20/2019,"-$557,571.91"
47QFCA18F0018,01/07/2024,12/20/2017,541512,COMPUTER SYSTEMS DESIGN SERVICES,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",WASHINGTON,DC,20032-5422,GENERAL DYNAMICS ONE SOURCE LLC,3211 JERMANTOWN ROAD,FAIRFAX,VA,22030-2844,610320215,(703) 277-3081,12/20/2017,"$1,150,000.00"
47QFCA18F0025,01/02/2024,12/12/2017,541512,COMPUTER SYSTEMS DESIGN SERVICES,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,ARLINGTON,VA,22209-1800,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-4904,006928857,(703) 917-2337,01/03/2018,"$14,337,586.00"
47QFCA18F0026,02/04/2023,02/02/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,SAINT INIGOES,MD,20684-4009,"SMARTRONIX, INC.",44150 SMARTRONIX WAY,HOLLYWOOD,MD,20636-3172,965091606,(301) 373-6000,02/02/2018,"$1,659,568.00"
47QFCA18F0050,04/30/2024,04/27/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,WASHINGTON,DC,20405-0001,CACI INC FEDERAL,14151 PARK MEADOW DR,CHANTILLY,VA,20151-2218,114896066,(703) 679-4137,04/27/2018,"$8,795,635.00"
47QFCA18F0058,06/14/2023,06/15/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,SAINT INIGOES,MD,20684-4009,"CACI NSS, INC.",11955 FREEDOM DR STE 12000,RESTON,VA,20190-5687,136127482,(703) 679-3205,06/15/2018,"$1,016,500.00"
47QFCA18F0067,09/27/2023,12/19/2018,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R499,SUPPORT- PROFESSIONAL: OTHER,ARLINGTON,VA,22202-3829,ALION SCIENCE AND TECHNOLOGY CORPORATION,1000 BURR RIDGE PKWY STE 202,BURR RIDGE,IL,60527-0849,963450866,(703) 269-3437,02/11/2019,"$5,949,423.00"
47QFCA18F0073,06/06/2023,06/07/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,TAMPA,FL,33621-0001,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-4904,006928857,(703) 917-2337,06/07/2018,"$8,607,716.00"
47QFCA18F0076,04/30/2024,06/21/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,WASHINGTON,DC,20045-1000,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",2251 CORPORATE PARK DRIVE,HERNDON,VA,20171-4839,139627525,(703) 218-6421,06/21/2018,"$3,406,319.00"
47QFCA18F0081,08/02/2023,08/03/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,SEASIDE,CA,93955-0002,DELOITTE CONSULTING LLP,1919 N LYNN ST,ARLINGTON,VA,22209-1742,019121586,(571) 858-0176,08/03/2018,"$16,569,201.00"
47QFCA18F0100,04/30/2024,07/24/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,MCLEAN,VA,22102-4904,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-4904,006928857,(703) 917-2337,07/24/2018,"$15,000,000.00"
47QFCA18F0108,08/06/2023,08/07/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,MCLEAN,VA,22102-3830,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,08/07/2018,"$31,559,328.00"
47QFCA18F0111,08/19/2023,08/09/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ABERDEEN PROVING GROUND,MD,21005-1846,CACI INC FEDERAL,14370 NEWBROOK DRIVE,CHANTILLY,VA,20151-4206,114896066,(703) 679-4137,08/09/2018,"$21,062,470.00"
47QFCA18F0114,09/09/2023,08/28/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ABERDEEN PROVING GROUND,MD,21005-0006,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,08/28/2018,"$15,572,623.00"
47QFCA18F0117,09/23/2023,09/11/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,ARLINGTON,VA,20598-0016,LOGISTICS MANAGEMENT INSTITUTE,7940 JONES BRANCH DRIVE,MC LEAN,VA,22102-3381,053385738,(703) 917-7176,09/11/2018,"$8,439,000.00"
47QFCA18F0118,09/13/2023,09/14/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,HOLLYWOOD,MD,20636-3172,"SMARTRONIX, INC.",44150 SMARTRONIX WAY,HOLLYWOOD,MD,20636-3172,965091606,(301) 373-6000,09/14/2018,"$34,380,400.00"
47QFCA18F0120,09/13/2023,09/14/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,MCLEAN,VA,22102-3830,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,09/14/2018,"$12,705,395.51"
47QFCA18F0122,09/26/2023,09/27/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",WASHINGTON,DC,20405-0002,LEIDOS INNOVATIONS CORPORATION,700 N FREDERICK AVE,GAITHERSBURG,MD,20879-3328,080272605,(571) 526-6000,09/27/2018,"$27,900,000.00"
47QFCA18F0131,04/30/2024,06/20/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,MCLEAN,VA,22102-4904,CGI FEDERAL INC.,12601 FAIR LAKES CIR,FAIRFAX,VA,22033-4902,145969783,(703) 227-4868,06/20/2018,"$9,887,189.00"
47QFCA19C0001,04/30/2024,04/03/2019,624190,OTHER INDIVIDUAL AND FAMILY SERVICES,G099,SOCIAL- OTHER,CHESAPEAKE,VA,23320-3360,"VALUEOPTIONS FEDERAL SERVICES, INC.",1434 CROSSWAYS BLVD,CHESAPEAKE,VA,23320-3360,079691240,(904) 562-9742,04/03/2019,"$60,000,000.00"
47QFCA19F0003,12/20/2023,12/20/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DORAL,FL,33172-2984,"SMARTRONIX, INC.",44150 SMARTRONIX WAY,HOLLYWOOD,MD,20636-3172,965091606,(301) 373-6000,12/21/2018,"$11,994,585.00"
47QFCA19F0006,05/19/2026,04/25/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FORT BELVOIR,VA,22060-1302,"CACI, INC. - FEDERAL",14370 NEWBROOK DRIVE,CHANTILLY,VA,20151-4206,114896066,(703) 679-3205,04/25/2019,"$30,656,627.00"
47QFCA19F0011,03/21/2024,03/22/2019,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,CAMP H M SMITH,HI,96861-4109,"AECOM MANAGEMENT SERVICES, INC.",20501 SENECA MEADOWS PKWY STE 300,GERMANTOWN,MD,20876-7019,961530545,(757) 306-6741,03/22/2019,"$1,383,988.00"
47QFCA19F0025,05/23/2025,05/24/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FAIRFAX,VA,22031-0001,"ECS FEDERAL, LLC",2750 PROSPERITY AVE STE 600,FAIRFAX,VA,22031-4312,806026852,(703) 270-1540,05/24/2019,"$7,733,568.00"
47QFCA19F0026,06/10/2024,07/01/2019,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,HERNDON,VA,20170-6008,PERATON INC.,12975 WORLDGATE STE 7322,HERNDON,VA,20170-6008,602938771,(703) 668-6447,07/01/2019,"$3,094,300.00"
47QFCA19F0029,07/21/2025,07/22/2019,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,,,00000-9131,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,07/22/2019,"$1,537,450.00"
47QFCA19F0030,03/14/2024,03/15/2019,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,LANGLEY AFB,VA,23665-2901,"LEIDOS, INC.",11951 FREEDOM DR,RESTON,VA,20190-5640,054781240,(571) 526-7028,03/15/2019,"$42,105,951.00"
47QFCA19F0033,12/13/2023,12/14/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,FORT GEORGE G MEADE,MD,20755-0004,"VENCORE, INC.",15050 CONFERENCE CTR DR,CHANTILLY,VA,20151-3857,078279641,(703) 489-2964,12/14/2018,"$8,245,000.00"
47QFCA19F0034,03/03/2024,02/12/2019,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),CHANTILLY,VA,20151-4206,CACI INC FEDERAL,14370 NEWBROOK DRIVE,CHANTILLY,VA,20151-4206,114896066,(703) 679-4137,02/12/2019,"$9,163,000.00"
47QFCA19F0035,12/17/2023,12/18/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,TAMPA,FL,33621-5100,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",3211 JERMANTOWN RD,FAIRFAX,VA,22030-2844,067641597,(703) 995-8666,12/18/2018,"$4,097,984.00"
47QFCA19F0047,06/26/2022,02/27/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,WOODBRIDGE,VA,22192-1776,"ZEIDERS ENTERPRISES, INC.",3421 COMMISSION CT STE 101,WOODBRIDGE,VA,22192-1776,130440118,(703) 496-9000,02/27/2019,$7.00
47QFCA19F0050,07/21/2024,07/22/2019,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ABERDEEN PROVING GROUND,MD,21005-1344,CACI INC FEDERAL,14370 NEWBROOK DRIVE,CHANTILLY,VA,20151-4206,114896066,(703) 679-4137,07/22/2019,"$19,995,366.00"
47QFDA18F0033,06/25/2023,06/26/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,BETHESDA,MD,20817-1124,"DIGITAL MANAGEMENT, LLC",6550 ROCK SPRING DR FLR 7,BETHESDA,MD,20817-1124,113512359,(240) 223-4810,06/26/2018,"$4,376,329.12"
47QFDA18F0037,07/19/2023,07/20/2018,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,D311,IT AND TELECOM- DATA CONVERSION,ARLINGTON,VA,22202-4501,ENGILITY CORPORATION,35 NEW ENGLAND BUSINESS CTR DR STE 200,ANDOVER,MA,01810-1071,069341972,(703) 984-6108,07/20/2018,"$1,715,379.00"
47QFEA18F0013,02/13/2024,08/01/2018,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ABERDEEN PROVING GROUND,MD,21005-1728,"JANUS RESEARCH GROUP, INC.",6504 RESERVOIR RD,APPLING,GA,30802-3905,036857050,(706) 364-9100,08/14/2018,"$7,000,000.00"
47QFEA19F0010,07/28/2022,07/29/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,NEW YORK,NY,10007-2092,DELOITTE CONSULTING LLP,1919 N LYNN ST,ARLINGTON,VA,22209-1742,019121586,(571) 858-0176,07/29/2019,"$400,000.00"
47QFLA18F0097,04/16/2023,04/03/2018,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-5600,RIVERSIDE RESEARCH INSTITUTE,156 WILLIAM ST FL 9,NEW YORK,NY,10038-5325,046822615,,04/17/2018,"$705,739.94"
47QFLA18F0099,04/16/2023,04/03/2018,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-5600,"APPLIED RESEARCH SOLUTIONS, INC.",51 PLUM ST STE 240,BEAVERCREEK,OH,45440-1397,807990382,(937) 912-6102,04/17/2018,"$135,801.60"
47QFLA18F0167,01/31/2023,06/27/2018,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-5700,"MACAULAY-BROWN, INC.",4021 EXECUTIVE DR,DAYTON,OH,45430-1062,096500483,(937) 426-3421,08/01/2018,"$4,605,504.84"
47QFLA18F0176,05/31/2022,06/03/2019,541620,ENVIRONMENTAL CONSULTING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-0778,SYRACUSE RESEARCH CORP,7502 ROUND POND RD,NORTH SYRACUSE,NY,13212-2558,063053771,(315) 452-8606,08/15/2018,"$242,500.00"
47QFLA18F0177,07/15/2023,07/17/2018,541620,ENVIRONMENTAL CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DAYTON,OH,45433-5700,SYRACUSE RESEARCH CORP,7502 ROUND POND RD,NORTH SYRACUSE,NY,13212-2558,063053771,(315) 452-8606,07/16/2018,"$251,820.80"
47QFLA19F0038,03/31/2024,02/26/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-0501,"LEIDOS, INC.",11955 FREEDOM DR,RESTON,VA,20190-5673,967488581,(571) 526-7056,04/01/2019,"$485,436.89"
47QFLA19F0070,04/21/2023,04/10/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,DAYTON,OH,45433-7810,"WHITNEY, BRADLEY & BROWN INC.",11790 SUNRISE VALLEY DR,RESTON,VA,20191-1440,131873457,(703) 448-6081,04/22/2019,"$3,626,372.28"
47QFLA19F0076,06/08/2024,04/18/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DAYTON,OH,45433-5600,PEERLESS TECHNOLOGIES CORPORATION,2300 NATIONAL RD,FAIRBORN,OH,45324-2009,132729877,(937) 490-5000,06/09/2019,"$6,864,015.35"
47QFLA19F0078,05/05/2024,05/02/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,WASHINGTON,DC,20405-0002,"EAGLE HILL CONSULTING, LLC",241 18TH ST S STE 615,ARLINGTON,VA,22202-3405,137206202,(703) 625-3029,05/06/2019,"$974,997.28"
47QFLA19F0088,07/26/2024,05/14/2019,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-7810,"DYNETICS, INC.",1002 EXPLORER BLVD,HUNTSVILLE,OH,35806-2806,075458455,(256) 964-4222,07/27/2019,"$236,884.80"
47QFLA19F0101,07/31/2024,07/31/2019,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-0501,BOOZ ALLEN HAMILTON INC,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,08/01/2019,$0.00
47QFLA19F0115,03/26/2022,06/14/2019,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,DAYTON,OH,45433-0501,"DYNETICS, INC.",1002 EXPLORER BLVD,HUNTSVILLE,OH,35806-2806,075458455,(256) 964-4222,06/27/2019,"$130,454.56"
47QFMA18F0012,03/12/2023,03/14/2018,541330,ENGINEERING SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,ABERDEEN PROVING GROUND,MD,21005-1728,"CACI NSS, INC.",11955 FREEDOM DR STE 12000,RESTON,VA,20190-5687,136127482,(703) 679-3205,03/13/2018,"$258,512.89"
47QFMA18F0034,08/04/2023,07/19/2018,541330,ENGINEERING SERVICES,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,RESTON,VA,20190-5640,"LEIDOS, INC.",11951 FREEDOM DR,RESTON,VA,20190-5640,054781240,(571) 526-7028,08/05/2018,"$5,670,290.11"
47QFMA18F0041,09/16/2023,08/23/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,SEASIDE,CA,93955-6771,ENTERPRISE SERVICES LLC,13600 EDS DR A3S-B53,HERNDON,VA,20171-3299,077817617,(571) 326-8005,09/17/2018,"$13,278,239.71"
47QFMA18F0041,09/16/2023,01/30/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,SEASIDE,CA,93955-6771,PERSPECTA ENTERPRISE SOLUTIONS LLC,13600 EDS DR A3S,HERNDON,VA,20171-3225,077817617,(703) 489-2964,09/17/2018,"$819,501.73"
47QFMA18F0049,09/06/2023,09/07/2018,541330,ENGINEERING SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,ABERDEEN PROVING GROUND,MD,21005-1728,"CACI NSS, INC.",11955 FREEDOM DR STE 12000,RESTON,VA,20190-5687,136127482,(703) 679-3205,09/07/2018,"$1,960,822.72"
47QFMA19F0007,01/29/2024,01/10/2019,541613,MARKETING CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,HAMPTON,VA,23665-2729,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",3211 JERMANTOWN RD,FAIRFAX,VA,22030-2844,067641597,(703) 995-8666,01/30/2019,"$2,435,751.00"
47QFMA19F0011,01/31/2024,01/30/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,SEASIDE,CA,93955-6771,NORTHROP GRUMMAN SYSTEMS CORPORATION,2340 DULLES CORNER BLVD,HERNDON,VA,20171-3400,078502520,(703) 713-4096,02/01/2019,"$1,000,000.00"
47QFMA19F0013,05/31/2024,05/09/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,,,00001-9131,"CACI, INC. - FEDERAL",14370 NEWBROOK DRIVE,CHANTILLY,VA,20151-4206,114896066,(703) 679-3205,06/01/2019,"$4,903,921.57"
47QFMA19F0014,06/10/2023,06/04/2019,541330,ENGINEERING SERVICES,R430,SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,,,,"PAE GOVERNMENT SERVICES, INC.","1320 N. COURTHOUSE RD, STE 800",ARLINGTON,VA,22201-2572,809790017,(703) 656-7407,06/11/2019,"$507,250.40"
47QFMA19P0001,07/12/2022,07/11/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,SEASIDE,CA,93955-6771,"GLOBAL CONNECTIONS TO EMPLOYMENT, INC.",1221 W LAKEVIEW AVE,PENSACOLA,FL,32501-1857,794976360,(850) 595-1330,07/13/2019,"$17,834,808.62"
